"ctrl.1","ctrl.2","ctrl.3","ctrl.4","ctrl.5","ctrl.6","ctrl.7","ctrl.8","ctrl.9","ctrl.10","ctrl.11","ctrl.12","ctrl.13","ctrl.14","ctrl.15","ctrl.16","ctrl.17","ctrl.18","ctrl.19","ctrl.20","stim.1","stim.2","stim.3","stim.4","stim.5","stim.6","stim.7","stim.8","stim.9","stim.10","stim.11","stim.12","stim.13","stim.14","stim.15","stim.16","stim.17","stim.18","stim.19","stim.20"
0.00347972605560609,0.000722800077540183,0,0.00183842015915433,0.00670041296587563,0,0.000781434055596511,0.00120449240843979,0,0.000160730727104649,0.00474032719373051,0.00183718229073346,0,0.00975411307372958,0.00238389072718014,0.00156266953749391,0.00356458497169487,0,0.00145423851458458,0.000151346622273467,0.000260515172320361,0,0.00110448957056266,0.000546296009874203,0.00190448200415278,0.00220043175693211,0.00867366073372331,0,0,0.00195871950960368,0.00122506335496487,0.0164774665941987,0.00168210388616397,0,0.0127172896681695,0.00106369665606739,0,0,0.000487222463622404,0
0,0.000253194164042417,0,0,0.000669883035985591,0,0.000189708512332675,0.000219238368865231,0,0,0,0,0.000447231687601054,0.018527193673024,0,0.00411324651425331,0.0161157745711901,0,0,0,0.00538110743581904,0.000120875354303259,0.000375197901489113,0.000208954393513839,0.00220687975040236,0,0.00443421700310845,0.00200973769267382,0.000217779233440865,0.00632328020116243,0.000596304620594176,0.00255811676526893,0.000129556869553187,0.00104123415265166,0.00682155832576072,0.00251002103519294,4.45080677739584e-05,0.000223869464267737,0.00762116800808636,0.00294537443067227
0.0023167472903507,3.17304485179382e-05,0,0.000761149656861119,0,0,0.00557038099288782,0.00272197710469474,0.000457411316431518,0.0108958686271457,0,0,0,0.000402738247075394,0.0118421675616917,0,0,0,0,0.00443778684611848,0.00781169694042977,0,0.000401164990982239,0,0.00453480295090586,0.000245644436336598,0.00975153315924129,0.00191290460124544,0,0.00147243411495633,0,0,0.000128120035655885,0.000849751367802393,0.00929681139813817,0.00690058593596673,0,0.000370895551055249,0,0
0.00193215315624623,0.00596436450753193,0,0.000182060676447177,0.000646044342994487,0,0,1.75815131608136e-05,0.00391971894406342,0.00186435434195049,0,0,0.002554081371931,0.0264366940176189,0.000205748721903934,0.00151964386269398,0,0,1.49843478394002e-05,0.00171339875370304,0.000263165405704604,0.000108640410284617,1.09709117508357e-05,0.0186189182509723,0.00275871176437455,0.000393243227749323,0,0.00446828661440238,0,0,0,0.0216814324682009,0.0010612057187877,0.00166797148582667,0,0.00789230828970331,0,0,0,0
0.0072090303607879,0.00295425998832587,0,0,0,0.00115624996761406,0,0.000529114760893576,0.00276163388861954,0,0.00624367776366009,0.000366744217892048,0.000105257069996032,0,0.00413985942475876,0.00177272672482998,0,0,0.0194358623511735,0,0.000321216942740472,0,0.000390924633039092,0,0,0.0012467949852375,0.00893390830497333,0.000395504428759339,0.00163620664636116,0,5.36622836551702e-06,0.00991892809788724,0,0,0.0163937943562276,0.00656515654499689,0,0,0.000116294839386065,0
0,0.00149731764668953,0.00146573528339985,0.0013735353353977,0.000866465077417625,0.00124446019199292,0.0149334950105113,0,0.000468999350091978,0,0,0,0,0,0.014275920310624,0.000316228638577388,8.08094869159635e-05,0.00263063006517166,0,8.61011218604398e-05,0.0135922596232072,0,0,0.00101178602452585,0,0,0.012766120634974,0,0,0,0,0.00524108501354252,0,0.000926720113183763,0.0045788257173285,0,0,0,0,0.00413947824205806
0.00159125600904624,0,0.00114130556005246,0,0,0.000967965186455975,0.00674568907768084,0,0.00045767998645413,0.003968602462287,0,0.0235788482105912,0.00116786692647393,0,0.0146110366732397,0.00060187351006071,0.00302038717196499,0,0,0,0.000674395844317953,0.000124663157521162,0,0,0,0.000363491425721154,0,0,0.000368427105062842,0.00242270348573724,0.000901744353884606,0.00280125509799803,0,0.000153347323055248,0.00219039147021861,0.0291937871530681,0,0.00193137864496738,0.0152086941458281,0.0135363607812458
0.00560686416391205,0,0.00150044776506952,0,0,0.000463863586555417,0.010237814791247,0.00118710065358497,0,0.00848529204188561,0.000616193863368282,0.00556230287611423,0,0,0.00726056200194454,0,0,0.000101074303018349,0.000394441498051992,0,0,0,0,0,0,1.31027152347386e-05,0.000360427854728241,0.00194633667931203,0.00227489736414622,0,0.000112422264074231,0.0130066046440088,0,0,0.00365163331214192,0.027740045295693,0,0,0.0178216880438623,0.00048816731311128
0.00138468834347364,0,0,0.000482254827189129,0,0,0.000298340715758154,0.00112624501788481,0.000715665462088947,0,0.00215278010664215,0.000523423355267867,0,0.0216882644866658,0.0013528645554764,0,0.00188967656641875,0,0.000885219849827603,0.000337940289940521,4.27175043331992e-05,0,0,0,0,0,0,0,0,0,0.00113326805248293,0,0,0.00278322434270456,0.000638268308408432,0.00115145172981694,0.0296843208001438,0,0.000721737586637255,0.000439900639290036
0,0,0,0,0,0,0,0,0.0106082984431779,0,0,0,0,0,0.00948302120970381,0.0521723008203068,0,0,0,0.000116100825495344,0.000150254018633991,0.000891194586905869,6.51241713493652e-05,0,0.00126278463162139,0,0,0,0.00263208100041608,0,0.0146766463938597,0.002902621010857,0.00144913235990187,0,0.000615847759451175,0.00145217619327284,0.0214581507766204,0,6.25084638945049e-05,0
